Word,Value,Char Count
aa,2,2
aah,10,3
aahed,19,5
aahing,40,6
aahs,29,4
aal,14,3
aalii,32,5
aaliis,51,6
aals,33,4
aardvark,76,8
aardvarks,95,9
aardwolf,80,8
aardwolves,120,10
aargh,35,5
aarrgh,53,6
aarrghh,61,7
aas,21,3
aasvogel,82,8
aasvogels,101,9
ab,3,2
aba,4,3
abaca,8,5
abacas,27,6
abaci,16,5
aback,18,5
abacterial,72,10
abacus,47,6
abacuses,71,8
abaft,30,5
abaka,16,5
abakas,35,6
abalone,50,7
abalones,69,8
abamp,33,5
abampere,61,8
abamperes,80,9
abamps,52,6
abandon,51,7
abandoned,60,9
abandoner,74,9
abandoners,93,10
abandoning,81,10
abandonment,103,11
abandonments,122,12
abandons,70,8
abapical,45,8
abas,23,4
abase,28,5
abased,32,6
abasedly,69,8
abasement,80,9
abasements,99,10
abaser,46,6
abasers,65,7
abases,47,6
abash,31,5
abashed,40,7
abashes,55,7
abashing,61,8
abashment,83,9
abashments,102,10
abasia,33,6
abasias,52,7
abasing,53,7
abatable,44,8
abate,29,5
abated,33,6
abatement,81,9
abatements,100,10
abater,47,6
abaters,66,7
abates,48,6
abating,54,7
abatis,52,6
abatises,76,8
abator,57,6
abators,76,7
abattis,72,7
abattises,96,9
abattoir,86,8
abattoirs,105,9
abaxial,50,7
abaxile,54,7
abba,6,4
abbacies,42,8
abbacy,34,6
abbas,25,5
abbatial,48,8
abbe,10,4
abbes,29,5
abbess,48,6
abbesses,72,8
abbey,35,5
abbeys,54,6
abbot,40,5
abbotcies,76,9
abbotcy,68,7
abbots,59,6
abbreviate,85,10
abbreviated,89,11
abbreviates,104,11
abbreviating,110,12
abbreviation,118,12
abbreviations,137,13
abbreviator,113,11
abbreviators,132,12
abdicable,39,9
abdicate,45,8
abdicated,49,9
abdicates,64,9
abdicating,70,10
abdication,78,10
abdications,97,11
abdicator,73,9
abdicators,92,10
abdomen,54,7
abdomens,73,8
abdomina,59,8
abdominal,71,9
abdominally,108,11
abduce,36,6
abduced,40,7
abducens,69,8
abducent,70,8
abducentes,94,10
abduces,55,7
abducing,61,8
abduct,51,6
abducted,60,8
abducting,81,9
abduction,89,9
abductions,108,10
abductor,84,8
abductores,108,10
abductors,103,9
abducts,70,7
abeam,22,5
abecedarian,63,11
abecedarians,82,12
abed,12,4
abele,25,5
abeles,44,6
abelia,30,6
abelian,44,7
abelias,49,7
abelmosk,78,8
abelmosks,97,9
aberrance,67,9
aberrances,86,10
aberrancies,95,11
aberrancy,87,9
aberrant,79,8
aberrantly,116,10
aberrants,98,9
aberrated,74,9
aberration,103,10
aberrational,116,12
aberrations,122,11
abet,28,4
abetment,80,8
abetments,99,9
abets,47,5
abettal,61,7
abettals,80,8
abetted,57,7
abetter,71,7
abetters,90,8
abetting,78,8
abettor,81,7
abettors,100,8
abeyance,56,8
abeyances,75,9
abeyancies,84,10
abeyancy,76,8
abeyant,68,7
abfarad,33,7
abfarads,52,8
abhenries,81,9
abhenry,73,7
abhenrys,92,8
abhor,44,5
abhorred,71,8
abhorrence,89,10
abhorrences,108,11
abhorrent,101,9
abhorrently,138,11
abhorrer,85,8
abhorrers,104,9
abhorring,92,9
abhors,63,6
abidance,39,8
abidances,58,9
abide,21,5
abided,25,6
abider,39,6
abiders,58,7
abides,40,6
abiding,46,7
abidingly,83,9
abigail,41,7
abigails,60,8
abilities,86,9
ability,78,7
abiogeneses,101,11
abiogenesis,105,11
abiogenic,65,9
abiogenically,115,13
abiogenist,101,10
abiogenists,120,11
abiological,86,11
abioses,70,7
abiosis,74,7
abiotic,59,7
abiotically,109,11
abject,41,6
abjection,79,9
abjections,98,10
abjectly,78,8
abjectness,98,10
abjectnesses,122,12
abjuration,111,10
abjurations,130,11
abjure,57,6
abjured,61,7
abjurer,75,7
abjurers,94,8
abjures,76,7
abjuring,82,8
ablate,41,6
ablated,45,7
ablates,60,7
ablating,66,8
ablation,74,8
ablations,93,9
ablative,72,8
ablatively,109,10
ablatives,91,9
ablaut,57,6
ablauts,76,7
ablaze,47,6
able,20,4
ablegate,53,8
ablegates,72,9
abler,38,5
ables,39,5
ablest,59,6
ablings,64,7
ablins,57,6
abloom,58,6
abluent,75,7
abluents,94,8
ablush,63,6
abluted,65,7
ablution,94,8
ablutionary,138,11
ablutions,113,9
ably,40,4
abmho,39,5
abmhos,58,6
abnegate,55,8
abnegated,59,9
abnegates,74,9
abnegating,80,10
abnegation,88,10
abnegations,107,11
abnegator,83,9
abnegators,102,10
abnormal,76,8
abnormalities,138,13
abnormality,130,11
abnormally,113,10
abnormals,95,9
abo,18,3
aboard,41,6
abode,27,5
aboded,31,6
abodes,46,6
aboding,52,7
abohm,39,5
abohms,58,6
aboideau,58,8
aboideaus,77,9
aboideaux,82,9
aboil,39,5
aboiteau,74,8
aboiteaus,93,9
aboiteaux,98,9
abolish,66,7
abolishable,86,11
abolished,75,9
abolisher,89,9
