Word,Value,Char Count
aa,2,2
aardvark,76,8
aargh,35,5
aback,18,5
abacus,47,6
abandon,51,7
abandoned,60,9
abandoning,81,10
abandonment,103,11
abandons,70,8
abba,6,4
abbey,35,5
abbot,40,5
abbots,59,6
abdomen,54,7
abdominal,71,9
abduct,51,6
abducted,60,8
abducting,81,9
abduction,89,9
abductions,108,10
aberration,103,10
abetted,57,7
abide,21,5
abiding,46,7
abigail,41,7
abilities,86,9
ability,78,7
ablaze,47,6
able,20,4
abnormal,76,8
abnormalities,138,13
abnormality,130,11
abnormally,113,10
aboard,41,6
abode,27,5
abolish,66,7
abominable,74,10
abomination,113,11
aboriginal,88,10
abort,56,5
abortion,94,8
abortions,113,9
abound,57,6
about,59,5
above,45,5
aboveboard,85,10
abrasive,77,8
abreast,66,7
abroad,41,6
abrupt,78,6
abruptly,115,8
abs,22,3
absconded,67,9
absence,49,7
absences,68,8
absent,61,6
absentee,71,8
absolute,95,8
absolutely,132,10
absolutes,114,9
absolution,128,10
absolved,80,8
absorb,57,6
absorbed,66,8
absorbent,96,9
absorbing,87,9
absorption,129,10
abstain,66,7
abstinence,92,10
abstract,84,8
absurd,65,6
absurdity,119,9
absurdly,102,8
abundance,65,9
abundant,77,8
abundantly,114,10
abuse,48,5
abused,52,6
abuser,66,6
abusing,73,7
abusive,79,7
abut,44,4
abysmal,73,7
academia,37,8
academic,39,8
academics,58,9
academy,52,7
accelerant,82,10
accelerate,73,10
accelerated,77,11
accelerating,98,12
acceleration,106,12
accent,46,6
accents,65,7
accept,48,6
acceptable,68,10
acceptance,71,10
accepted,57,8
accepting,78,9
accepts,67,7
access,50,6
accessible,78,10
accessing,80,9
accessories,116,11
accessory,108,9
accident,59,8
accidental,72,10
accidentally,109,12
accidently,96,10
accidents,78,9
acclaim,42,7
acclimate,67,9
acclimated,71,10
accolades,63,9
accommodate,93,11
accommodating,118,13
accommodation,126,13
accommodations,145,14
accompanied,84,11
accompany,91,9
accompanying,121,12
accomplice,80,10
accomplices,99,11
accomplish,99,10
accomplished,108,12
accomplishing,129,13
accomplishment,151,14
accomplishments,170,15
accord,44,6
accordance,67,10
accorded,53,8
according,74,9
accordingly,111,11
account,77,7
accountability,155,14
accountable,97,11
accountant,112,10
accountants,131,11
accounted,86,9
accounting,107,10
accounts,96,8
accoutrements,157,13
accumulate,100,10
accumulated,104,11
accumulation,133,12
accuracy,75,8
accurate,72,8
accurately,109,10
accursed,74,8
accusation,106,10
accusations,125,11
accuse,52,6
accused,56,7
accuser,70,7
accusers,89,8
accuses,71,7
accusing,77,8
accustomed,104,10
ace,9,3
aced,13,4
aces,28,4
acetate,55,7
ache,17,4
ached,21,5
aches,36,5
achieve,53,7
achieved,57,8
achievement,105,11
achieving,78,9
aching,42,6
achingly,79,8
acid,17,4
acids,36,5
acing,34,5
acknowledge,100,11
acknowledged,104,12
acknowledgement,152,15
acknowledges,119,12
acme,22,4
acne,23,4
acorn,51,5
acoustic,91,8
acoustics,110,9
acquaint,86,8
acquaintance,109,12
acquaintances,128,13
acquainted,95,10
acquire,74,7
acquired,78,8
acquisition,137,11
acquisitions,156,12
acquitted,100,9
acre,27,4
acres,46,5
acrobat,60,7
across,75,6
act,24,3
acted,33,5
actin,47,5
acting,54,6
action,62,6
actionable,82,10
actions,81,7
activate,81,8
activated,85,9
activating,106,10
activation,114,10
activators,128,10
active,60,6
actively,97,8
activists,122,9
activities,117,10
activity,109,8
actor,57,5
actors,76,6
actress,85,7
actresses,109,9
acts,43,4
actual,58,6
actuality,112,9
actualization,152,13
actually,95,8
actuarial,86,9
acupuncture,143,11
acupuncturist,186,13
acute,50,5
ad,5,2
adage,18,5
adamant,54,7
adapt,42,5
adaptable,62,9
adapted,51,7
adapting,72,8
add,9,3
added,18,5
addendum,66,8
addict,41,6
addicted,50,8
addiction,79,9
addictive,77,9
addicts,60,7
adding,39,6
addition,76,8
additional,89,10
additions,95,9
additives,93,9
addled,30,6
address,70,7
addressed,79,9
addresses,94,9
addressing,100,10
adds,28,4
adenoids,71,8
adept,46,5
adequate,74,8
adequately,111,10
adhere,41,6
adherence,63,9
adhesive,73,8
adjacent,58,8
adjective,79,9
adjectives,98,10
adjourn,83,7
adjourned,92,9
adjust,75,6
adjustable,95,10
adjusted,84,8
adjusting,105,9
adjustment,127,10
adjustments,146,11
adjutant,91,8
administer,112,10
administered,121,12
administering,142,13
administration,166,14
administrative,164,14
administrator,161,13
administrators,180,14
admirable,65,9
admirably,85,9
admiral,58,7
admiration,104,10
admire,50,6
admired,54,7
admirer,68,7
admirers,87,8
admires,69,7
admiring,75,8
admission,103,9
admissions,122,10
admit,47,5
admits,66,6
admittance,90,10
admitted,76,8
admittedly,113,10
admitting,97,9
admonish,83,8
admonished,92,10
admonition,114,10
ado,20,3
adobe,27,5
adolescence,86,11
adolescent,98,10
adolescents,117,11
adopt,56,5
adopted,65,7
adopting,86,8
adoption,94,8
adoptive,92,8
adorable,58,8
adoration,97,9
adore,43,5
adored,47,6
adores,62,6
adoring,68,7
adrenaline,83,10
adrenals,74,8
ads,24,3
adult,58,5
adultery,106,8
adults,77,6
advance,50,7
advanced,54,8
advancement,102,11
advancements,121,12
advances,69,8
advancing,75,9
advantage,75,9
advantageous,130,12
advantages,94,10
advent,66,6
adventure,110,9
adventurer,128,10
adventures,129,10
adventurous,160,11
adversaries,121,11
adversary,113,9
adverse,74,7
adversely,111,9
adversity,123,9
advert,70,6
advertise,103,9
advertised,107,10
advertisement,155,13
advertisers,140,11
advertises,122,10
advertising,128,11
advice,44,6
advisable,75,9
advise,60,6
advised,64,7
adviser,78,7
advises,79,7
advising,85,8
advisor,88,7
advocacy,74,8
advocate,71,8
advocating,96,10
aerial,46,6
aerobic,53,7
aerobics,72,8
aerodynamics,127,12
aeroplane,87,9
aerosol,85,7
aerospace,83,9
aesthetic,90,9
aesthetics,109,10
afar,26,4
affair,41,6
affairs,60,7
affect,41,6
affected,50,8
affecting,71,9
affection,79,9
affectionate,105,12
affectionately,142,14
affections,98,10
affects,60,7
affidavit,78,9
affidavits,97,10
affiliated,73,10
affiliates,88,10
affiliation,102,11
affinity,90,8
affirm,53,6
affirmative,110,11
affirming,83,9
afflicted,66,9
afford,50,6
afforded,59,8
affront,80,7
afloat,55,6
afoot,57,5
aforementioned,144,14
aforethought,144,12
afraid,39,6
aft,27,3
after,50,5
afterglow,107,9
afterlife,82,9
aftermath,92,9
afternoon,108,9
afternoons,127,10
afterthought,149,12
afterward,96,9
afterwards,115,10
ag,8,2
aga,9,3
again,32,5
against,71,7
age,13,3
aged,17,4
ageing,43,6
ageless,68,7
agencies,63,8
agency,55,6
agenda,32,6
agendas,51,7
agent,47,5
agents,66,6
ages,32,4
aggravate,82,9
aggravated,86,10
aggravating,107,11
aggravation,115,11
aggression,114,10
aggressive,112,10
aggressively,149,12
aggressor,109,9
agile,34,5
agility,83,7
agin,31,4
aging,38,5
agitate,63,7
agitated,67,8
agitation,96,9
agitators,110,9
ago,23,3
agonized,81,8
agonizing,102,9
agony,62,5
agree,36,5
agreeable,56,9
agreed,40,6
agreeing,66,8
agreement,88,9
agreements,107,10
agrees,55,6
agricultural,143,12
aground,80,7
ah,9,2
aha,10,3
ahead,19,5
ahem,27,4
ahold,40,5
ahoy,49,4
ai,10,2
aid,14,3
aide,19,4
aided,23,5
aides,38,5
aiding,44,6
aids,33,4
ail,22,3
ailing,52,6
ailment,74,7
ailments,93,8
ails,41,4
aim,23,3
aimed,32,5
aiming,53,6
aimless,78,7
aimlessly,115,9
aims,42,4
ain,24,3
air,28,3
airborne,82,8
aircraft,76,8
airfield,64,8
airhead,46,7
airing,58,6
airlift,75,7
airlifted,84,9
airline,68,7
airlines,87,8
airman,56,6
airmen,60,6
airplane,76,8
airplanes,95,9
airport,97,7
airports,116,8
airs,47,4
airspace,72,8
airstrip,110,8
airtight,92,8
airwaves,98,8
airway,77,6
airways,96,7
aisle,46,5
aisles,65,6
ajar,30,4
al,13,2
ala,14,3
alabaster,79,9
alameda,37,7
alamo,42,5
alan,28,4
alarm,45,5
alarmed,54,7
alarming,75,8
alarmist,93,8
alarms,64,6
alas,33,4
